Gene,ep_locus,Enhancer_or_Promoter,Chromatin_domain,Tissue_specificity
Y48G1BR.1,chrI:258519:258669,putative_enhancer,R,Hypod
Y48G1BR.1,chrI:267241:267391,coding_promoter,R,Hypod
Y48G1BR.1,chrI:268138:268288,coding_promoter,border,Hypod
.,chrI:270331:270481,putative_enhancer,border,Muscle
.,chrI:270974:271124,putative_enhancer,border,Hypod
.,chrI:272559:272709,putative_enhancer,border,Low
.,chrI:274471:274621,putative_enhancer,border,Unclassified
.,chrI:275719:275869,putative_enhancer,border,Neurons
.,chrI:276571:276721,putative_enhancer,border,Unclassified
C53D5.3,chrI:277107:277257,coding_promoter,border,Neurons
C53D5.3,chrI:279893:280043,coding_promoter,border,Ubiq-Biased
4-Mar,chrI:282028:282178,coding_promoter,border,Unclassified
C53D5.1,chrI:289111:289261,coding_promoter,A,Neurons
ztf-3,chrI:289111:289261,coding_promoter,A,Neurons
C53D5.1,chrI:290377:290527,putative_enhancer,A,Hypod
C53D5.1,chrI:293197:293347,coding_promoter,A,Muscle
C53D5.1,chrI:295960:296110,putative_enhancer,A,Muscle
C53D5.1,chrI:296237:296387,putative_enhancer,A,Neurons_Muscle
C53D5.1,chrI:297434:297584,putative_enhancer,A,Unclassified
C53D5.1,chrI:297619:297769,putative_enhancer,A,Neurons
C53D5.1,chrI:298430:298580,putative_enhancer,A,Muscle_Hypod
C53D5.1,chrI:299772:299922,putative_enhancer,A,Neurons_Hypod
C53D5.1,chrI:300739:300889,putative_enhancer,A,Unclassified
C53D5.1,chrI:301309:301459,putative_enhancer,A,Unclassified
C53D5.1,chrI:302102:302252,coding_promoter,A,Unclassified
C53D5.5,chrI:305916:306066,putative_enhancer,A,Germline_Hypod_Intest
C53D5.5,chrI:308035:308185,putative_enhancer,A,Unclassified
C53D5.5,chrI:310902:311052,putative_enhancer,A,Ubiq-Biased
imb-3,chrI:310902:311052,putative_enhancer,A,Ubiq-Biased
imb-3,chrI:311293:311443,putative_enhancer,A,Unclassified
imb-3,chrI:314281:314431,putative_enhancer,A,Unclassified
imb-3,chrI:315227:315377,coding_promoter,A,Ubiq
.,chrI:315487:315637,putative_enhancer,A,Ubiq-Biased
.,chrI:316147:316297,putative_enhancer,A,Ubiq-Biased
Y48G1A.7,chrI:318178:318328,putative_enhancer,A,Unclassified
Y48G1A.4,chrI:321003:321153,coding_promoter,A,Unclassified
Y48G1A.4,chrI:323569:323719,coding_promoter,A,Ubiq
xpo-2,chrI:323569:323719,coding_promoter,A,Ubiq
mbtr-1,chrI:342944:343094,putative_enhancer,A,Unclassified
Y48G1A.2,chrI:347229:347379,coding_promoter,A,Germline
mbtr-1,chrI:347229:347379,coding_promoter,A,Germline
Y48G1A.2,chrI:347473:347623,coding_promoter,A,Unclassified
Y48G1A.1,chrI:348356:348506,coding_promoter,A,Ubiq
mbtr-1,chrI:348356:348506,coding_promoter,A,Ubiq
rnp-8,chrI:364269:364419,coding_promoter,A,Germline
rnp-8,chrI:366950:367100,putative_enhancer,A,Unclassified
R119.3,chrI:377322:377472,putative_enhancer,A,Unclassified
R119.3,chrI:378951:379101,putative_enhancer,A,Ubiq-Biased
pqn-59,chrI:378951:379101,putative_enhancer,A,Ubiq-Biased
pqn-59,chrI:381579:381729,putative_enhancer,A,Muscle_Hypod_Intest
pqn-59,chrI:381910:382060,putative_enhancer,A,Ubiq-Biased
taf-4,chrI:382444:382594,coding_promoter,A,Ubiq
pqn-59,chrI:382444:382594,coding_promoter,A,Ubiq
taf-4,chrI:382792:382942,putative_enhancer,A,Ubiq
R119.5,chrI:389661:389811,putative_enhancer,A,Unclassified
R119.5,chrI:395262:395412,coding_promoter,A,Soma
.,chrI:395970:396120,putative_enhancer,A,Unclassified
.,chrI:397135:397285,putative_enhancer,A,Hypod
otub-2,chrI:397842:397992,coding_promoter,A,Neurons_Muscle
otub-2,chrI:398464:398614,coding_promoter,A,Germline
otub-2,chrI:400527:400677,putative_enhancer,A,Unclassified
Y50C1A.2,chrI:414420:414570,putative_enhancer,border,Unclassified
Y50C1A.2,chrI:418844:418994,coding_promoter,R,Neurons
C07F11.2,chrI:419818:419968,coding_promoter,R,Unclassified
Y50C1A.2,chrI:419818:419968,coding_promoter,R,Unclassified
.,chrI:424599:424749,putative_enhancer,R,Unclassified
.,chrI:426919:427069,putative_enhancer,border,Neurons
.,chrI:430211:430361,putative_enhancer,border,Unclassified
tol-1,chrI:432127:432277,coding_promoter,border,Germline
tol-1,chrI:432659:432809,putative_enhancer,border,Unclassified
tol-1,chrI:434611:434761,putative_enhancer,border,Muscle_Hypod_Intest
tol-1,chrI:435540:435690,putative_enhancer,border,Neurons_Muscle
tol-1,chrI:436159:436309,putative_enhancer,border,Low
tol-1,chrI:436924:437074,putative_enhancer,border,Unclassified
tol-1,chrI:437714:437864,putative_enhancer,border,Unclassified
tol-1,chrI:439434:439584,putative_enhancer,border,Unclassified
tol-1,chrI:440511:440661,putative_enhancer,border,Unclassified
tol-1,chrI:441378:441528,putative_enhancer,border,Unclassified
tol-1,chrI:442168:442318,putative_enhancer,border,Unclassified
tol-1,chrI:443206:443356,putative_enhancer,border,Unclassified
tol-1,chrI:445614:445764,putative_enhancer,A,Unclassified
tol-1,chrI:446367:446517,putative_enhancer,A,Low
tol-1,chrI:447648:447798,putative_enhancer,A,Unclassified
tol-1,chrI:449464:449614,putative_enhancer,A,Unclassified
tol-1,chrI:452637:452787,putative_enhancer,A,Unclassified
tol-1,chrI:453527:453677,putative_enhancer,A,Unclassified
tol-1,chrI:454815:454965,putative_enhancer,A,Unclassified
W04C9.4,chrI:461669:461819,coding_promoter,A,Ubiq
W04C9.5,chrI:462697:462847,putative_enhancer,border,Unclassified
.,chrI:468370:468520,putative_enhancer,R,Unclassified
.,chrI:475485:475635,putative_enhancer,R,Low
.,chrI:476368:476518,putative_enhancer,border,Unclassified
cutl-13,chrI:477457:477607,coding_promoter,border,Unclassified
W04C9.2,chrI:488342:488492,coding_promoter,A,Ubiq
W04C9.6,chrI:488342:488492,coding_promoter,A,Ubiq
haf-4,chrI:489878:490028,coding_promoter,A,Intest
haf-4,chrI:492685:492835,putative_enhancer,A,Unclassified
deps-1,chrI:506272:506422,coding_promoter,A,Germline
Y65B4BL.4,chrI:506272:506422,coding_promoter,A,Germline
deps-1,chrI:506572:506722,putative_enhancer,A,Germline
Y65B4BL.7,chrI:509454:509604,putative_enhancer,A,Germline
Y65B4BL.7,chrI:509949:510099,putative_enhancer,A,Unclassified
Y65B4BL.7,chrI:510778:510928,coding_promoter,A,Germline
acs-13,chrI:511171:511321,putative_enhancer,A,Unclassified
acs-13,chrI:514060:514210,putative_enhancer,A,Unclassified
acs-13,chrI:515171:515321,putative_enhancer,A,Unclassified
acs-13,chrI:516340:516490,putative_enhancer,A,Unclassified
acs-13,chrI:516714:516864,coding_promoter,A,Hypod
acs-13,chrI:518190:518340,coding_promoter,A,Soma
acs-13,chrI:518544:518694,coding_promoter,A,Ubiq-Biased
acs-13,chrI:519498:519648,putative_enhancer,A,Germline_Neurons
acs-13,chrI:519878:520028,coding_promoter,A,Germline
Y65B4BL.6,chrI:521437:521587,coding_promoter,border,Unclassified
.,chrI:524259:524409,putative_enhancer,border,Unclassified
.,chrI:526198:526348,putative_enhancer,border,Hypod
.,chrI:527266:527416,putative_enhancer,border,Unclassified
.,chrI:527538:527688,putative_enhancer,border,Hypod
.,chrI:528013:528163,putative_enhancer,border,Hypod
Y65B4BL.1,chrI:529257:529407,coding_promoter,border,Unclassified
Y65B4BL.1,chrI:529555:529705,coding_promoter,border,Hypod
Y65B4BL.1,chrI:529909:530059,putative_enhancer,border,Unclassified
Y65B4BL.1,chrI:530209:530359,coding_promoter,border,Unclassified
Y65B4BL.1,chrI:530464:530614,coding_promoter,border,Unclassified
Y65B4BL.1,chrI:531126:531276,putative_enhancer,border,Unclassified
Y65B4BL.1,chrI:531381:531531,putative_enhancer,border,Unclassified
Y65B4BL.1,chrI:531633:531783,coding_promoter,border,Unclassified
.,chrI:533216:533366,putative_enhancer,border,Unclassified
psf-3,chrI:533477:533627,coding_promoter,border,Unclassified
psf-3,chrI:534252:534402,coding_promoter,A,Unclassified
icd-2,chrI:535376:535526,coding_promoter,A,Ubiq
icd-2,chrI:536374:536524,putative_enhancer,A,Ubiq
wwp-1,chrI:536798:536948,coding_promoter,A,Ubiq-Biased
wwp-1,chrI:537276:537426,putative_enhancer,A,Ubiq-Biased
wwp-1,chrI:538710:538860,coding_promoter,A,Ubiq-Biased
.,chrI:543374:543524,putative_enhancer,A,Neurons
ptr-21,chrI:545766:545916,coding_promoter,A,Hypod_Intest
ptr-21,chrI:547200:547350,coding_promoter,A,Unclassified
ptr-21,chrI:548091:548241,putative_enhancer,A,Muscle_Hypod
ptr-21,chrI:548410:548560,putative_enhancer,A,Muscle_Hypod
ptr-21,chrI:549323:549473,putative_enhancer,A,Muscle_Hypod
ptr-21,chrI:550454:550604,coding_promoter,A,Low
lpr-1,chrI:557287:557437,coding_promoter,border,Unclassified
lpr-1,chrI:561138:561288,putative_enhancer,R,Soma
Y65B4BR.1,chrI:562620:562770,coding_promoter,R,Unclassified
ceh-9,chrI:566550:566700,coding_promoter,R,Unclassified
grl-16,chrI:572754:572904,putative_enhancer,R,Hypod
grl-16,chrI:575157:575307,coding_promoter,R,Hypod
F56A6.8,chrI:584614:584764,coding_promoter,R,Unclassified
hum-7,chrI:585906:586056,putative_enhancer,R,Unclassified
hum-7,chrI:597053:597203,putative_enhancer,R,Muscle
hum-7,chrI:606633:606783,putative_enhancer,R,Unclassified
hum-7,chrI:608902:609052,coding_promoter,R,Muscle
.,chrI:613309:613459,putative_enhancer,border,Unclassified
sago-2,chrI:618020:618170,coding_promoter,border,Intest
eme-1,chrI:629312:629462,putative_enhancer,border,Unclassified
eme-1,chrI:629587:629737,coding_promoter,border,Germline_Intest
vps-20,chrI:636761:636911,coding_promoter,A,Ubiq
Y65B4A.6,chrI:636761:636911,coding_promoter,A,Ubiq
Y65B4A.2,chrI:638010:638160,coding_promoter,A,Unclassified
Y65B4A.2,chrI:638322:638472,putative_enhancer,A,Unclassified
Y65B4A.2,chrI:640115:640265,coding_promoter,A,Muscle
Y65B4A.2,chrI:644879:645029,putative_enhancer,A,Unclassified
Y65B4A.1,chrI:653955:654105,coding_promoter,A,Unclassified
Y65B4A.8,chrI:663584:663734,coding_promoter,A,Ubiq
Y18H1A.11,chrI:680052:680202,coding_promoter,R,Intest
Y18H1A.11,chrI:682939:683089,putative_enhancer,R,Unclassified
hasp-2,chrI:682939:683089,putative_enhancer,R,Unclassified
hgap-1,chrI:716701:716851,coding_promoter,A,Ubiq-Biased
.,chrI:717717:717867,putative_enhancer,A,Germline
rec-1,chrI:719586:719736,coding_promoter,A,Germline
pif-1,chrI:719919:720069,coding_promoter,A,Ubiq-Biased
rec-1,chrI:719919:720069,coding_promoter,A,Ubiq-Biased
pif-1,chrI:720272:720422,putative_enhancer,A,Unclassified
Y18H1A.15,chrI:731585:731735,putative_enhancer,border,Unclassified
Y18H1A.18,chrI:737586:737736,coding_promoter,border,Unclassified
Y18H1A.15,chrI:737586:737736,coding_promoter,border,Unclassified
Y18H1A.18,chrI:738703:738853,putative_enhancer,border,Neurons
col-47,chrI:745493:745643,coding_promoter,R,Unclassified
col-46,chrI:745493:745643,coding_promoter,R,Unclassified
Y18H1A.9,chrI:754145:754295,putative_enhancer,R,Unclassified
Y18H1A.9,chrI:754904:755054,putative_enhancer,R,Unclassified
Y18H1A.8,chrI:756957:757107,coding_promoter,R,Hypod
Y18H1A.9,chrI:756957:757107,coding_promoter,R,Hypod
mps-3,chrI:762056:762206,coding_promoter,R,Hypod
T06A4.3,chrI:763451:763601,coding_promoter,R,Hypod
T06A4.1,chrI:770777:770927,coding_promoter,R,Unclassified
.,chrI:781574:781724,putative_enhancer,R,Germline
.,chrI:785301:785451,putative_enhancer,R,Unclassified
.,chrI:788098:788248,putative_enhancer,R,Neurons
.,chrI:788611:788761,putative_enhancer,R,Unclassified
.,chrI:794498:794648,putative_enhancer,R,Unclassified
.,chrI:796989:797139,putative_enhancer,R,Unclassified
.,chrI:798391:798541,putative_enhancer,R,Unclassified
.,chrI:801347:801497,putative_enhancer,R,Neurons
.,chrI:801587:801737,putative_enhancer,R,Low
zfh-2,chrI:802904:803054,coding_promoter,R,Muscle
zfh-2,chrI:803803:803953,putative_enhancer,R,Unclassified
zfh-2,chrI:806912:807062,putative_enhancer,R,Unclassified
zfh-2,chrI:807657:807807,putative_enhancer,R,Unclassified
zfh-2,chrI:809009:809159,putative_enhancer,R,Unclassified
zfh-2,chrI:809241:809391,putative_enhancer,R,Unclassified
zfh-2,chrI:810863:811013,putative_enhancer,R,Unclassified
zfh-2,chrI:812293:812443,putative_enhancer,R,Unclassified
zfh-2,chrI:812614:812764,putative_enhancer,R,Unclassified
zfh-2,chrI:814024:814174,putative_enhancer,R,Neurons
zfh-2,chrI:815680:815830,putative_enhancer,R,Unclassified
zfh-2,chrI:816059:816209,putative_enhancer,R,Neurons
zfh-2,chrI:818189:818339,putative_enhancer,R,Unclassified
zfh-2,chrI:819405:819555,putative_enhancer,R,Unclassified
zfh-2,chrI:819582:819732,putative_enhancer,R,Unclassified
zfh-2,chrI:820085:820235,putative_enhancer,R,Intest
zfh-2,chrI:826334:826484,putative_enhancer,R,Hypod
zfh-2,chrI:828046:828196,putative_enhancer,R,Unclassified
zfh-2,chrI:828738:828888,putative_enhancer,R,Unclassified
zfh-2,chrI:830004:830154,putative_enhancer,R,Unclassified
ZC123.1,chrI:836125:836275,coding_promoter,R,Unclassified
ZC123.4,chrI:843390:843540,putative_enhancer,R,Muscle
ZC123.4,chrI:846842:846992,coding_promoter,R,Unclassified
ZC123.4,chrI:849309:849459,putative_enhancer,border,Neurons_Muscle
Y95B8A.8,chrI:851672:851822,coding_promoter,border,Unclassified
ZC123.4,chrI:851672:851822,coding_promoter,border,Unclassified
Y95B8A.8,chrI:852091:852241,putative_enhancer,border,Intest
ZC123.4,chrI:852091:852241,putative_enhancer,border,Intest
ZC123.4,chrI:852410:852560,coding_promoter,border,Unclassified
ZC123.4,chrI:852720:852870,coding_promoter,A,Ubiq
Y95B8A.8,chrI:853243:853393,coding_promoter,A,Ubiq
pde-6,chrI:878099:878249,putative_enhancer,A,Unclassified
Y95B8A.6,chrI:879861:880011,coding_promoter,A,Ubiq-Biased
Y95B8A.6,chrI:881482:881632,coding_promoter,A,Neurons_Muscle_Intest
Y95B8A.6,chrI:881828:881978,putative_enhancer,A,Neurons
pde-6,chrI:881828:881978,putative_enhancer,A,Neurons
Y95B8A.6,chrI:882555:882705,coding_promoter,A,Neurons_Muscle_Intest
Y95B8A.6,chrI:882751:882901,coding_promoter,A,Soma
pde-6,chrI:882751:882901,coding_promoter,A,Soma
Y95B8A.6,chrI:882947:883097,coding_promoter,A,Soma
Y95B8A.6,chrI:884466:884616,putative_enhancer,A,Muscle
Y95B8A.6,chrI:884724:884874,putative_enhancer,A,Unclassified
Y95B8A.6,chrI:887883:888033,putative_enhancer,A,Ubiq
him-19,chrI:890323:890473,putative_enhancer,A,Unclassified
him-19,chrI:895031:895181,coding_promoter,A,Germline
him-19,chrI:896000:896150,coding_promoter,A,Unclassified
Y95B8A.12,chrI:919890:920040,putative_enhancer,border,Unclassified
Y95B8A.12,chrI:921402:921552,coding_promoter,border,Neurons
Y95B8A.12,chrI:927118:927268,putative_enhancer,border,Unclassified
Y95B8A.12,chrI:929716:929866,coding_promoter,border,Neurons
Y95B8A.2,chrI:935115:935265,coding_promoter,border,Hypod
Y95B8A.2,chrI:935780:935930,putative_enhancer,border,Hypod
Y95B8A.2,chrI:936631:936781,coding_promoter,border,Hypod
Y95B8A.2,chrI:938408:938558,coding_promoter,R,Hypod
mig-1,chrI:954978:955128,putative_enhancer,R,Muscle
mig-1,chrI:955269:955419,putative_enhancer,R,Unclassified
mig-1,chrI:955529:955679,putative_enhancer,R,Muscle
mig-1,chrI:957435:957585,coding_promoter,R,Ubiq-Biased
cutl-20,chrI:963614:963764,putative_enhancer,R,Unclassified
cutl-20,chrI:963973:964123,putative_enhancer,R,Unclassified
cutl-20,chrI:969145:969295,putative_enhancer,border,Unclassified
shc-1,chrI:969145:969295,putative_enhancer,border,Unclassified
cutl-20,chrI:969421:969571,putative_enhancer,border,Unclassified
shc-1,chrI:969421:969571,putative_enhancer,border,Unclassified
shc-1,chrI:973141:973291,coding_promoter,A,Soma
shc-1,chrI:973784:973934,coding_promoter,R,Unclassified
hmbx-1,chrI:978263:978413,coding_promoter,R,Hypod
hmbx-1,chrI:978673:978823,coding_promoter,R,Hypod
hmbx-1,chrI:983078:983228,putative_enhancer,R,Unclassified
hmbx-1,chrI:984444:984594,coding_promoter,border,Hypod
hmbx-1,chrI:985072:985222,coding_promoter,border,Unclassified
hmbx-1,chrI:987653:987803,coding_promoter,border,Intest
hmbx-1,chrI:989003:989153,coding_promoter,border,Ubiq-Biased
C54G6.3,chrI:999208:999358,putative_enhancer,border,Muscle_Hypod
C54G6.3,chrI:1000898:1001048,putative_enhancer,border,Hypod
C54G6.2,chrI:1006005:1006155,putative_enhancer,border,Neurons
madf-6,chrI:1014418:1014568,coding_promoter,border,Unclassified
spp-17,chrI:1014578:1014728,coding_promoter,border,Germline
spp-17,chrI:1015049:1015199,coding_promoter,border,Unclassified
spp-17,chrI:1016951:1017101,putative_enhancer,border,Unclassified
spp-23,chrI:1017493:1017643,coding_promoter,border,Unclassified
spp-23,chrI:1018920:1019070,putative_enhancer,border,Unclassified
mrpl-38,chrI:1029724:1029874,putative_enhancer,A,Unclassified
Y34D9A.3,chrI:1030100:1030250,coding_promoter,A,Unclassified
mrpl-38,chrI:1030100:1030250,coding_promoter,A,Unclassified
Y34D9A.3,chrI:1030884:1031034,putative_enhancer,A,Unclassified
spd-1,chrI:1030884:1031034,putative_enhancer,A,Unclassified
Y34D9A.3,chrI:1031893:1032043,coding_promoter,A,Ubiq
Y34D9A.3,chrI:1033595:1033745,coding_promoter,A,Germline
spd-1,chrI:1033595:1033745,coding_promoter,A,Germline
spd-1,chrI:1033943:1034093,coding_promoter,A,Germline
Y34D9A.3,chrI:1034293:1034443,coding_promoter,A,Ubiq
spd-1,chrI:1034293:1034443,coding_promoter,A,Ubiq
Y34D9A.3,chrI:1038592:1038742,putative_enhancer,A,Germline
Y34D9A.7,chrI:1041019:1041169,coding_promoter,A,Germline
Y34D9A.7,chrI:1046388:1046538,putative_enhancer,A,Unclassified
glrx-10,chrI:1049225:1049375,coding_promoter,A,Ubiq-Biased
glrx-10,chrI:1050437:1050587,putative_enhancer,A,Ubiq
Y34D9A.8,chrI:1051891:1052041,putative_enhancer,A,Unclassified
Y34D9A.8,chrI:1052222:1052372,coding_promoter,A,Unclassified
Y34D9A.8,chrI:1053701:1053851,coding_promoter,A,Neurons
npr-23,chrI:1062077:1062227,coding_promoter,A,Neurons_Muscle
vps-4,chrI:1067063:1067213,coding_promoter,A,Ubiq
gsa-1,chrI:1068177:1068327,coding_promoter,A,Neurons_Muscle_Intest
vps-4,chrI:1068177:1068327,coding_promoter,A,Neurons_Muscle_Intest
gsa-1,chrI:1068400:1068550,coding_promoter,A,Neurons_Muscle_Intest
vps-4,chrI:1068400:1068550,coding_promoter,A,Neurons_Muscle_Intest
gsa-1,chrI:1069241:1069391,putative_enhancer,A,Muscle
vps-4,chrI:1069241:1069391,putative_enhancer,A,Muscle
vps-4,chrI:1069664:1069814,coding_promoter,A,Neurons_Muscle_Intest
gsa-1,chrI:1070006:1070156,putative_enhancer,A,Neurons_Muscle_Intest
gsa-1,chrI:1074481:1074631,putative_enhancer,A,Unclassified
.,chrI:1077332:1077482,putative_enhancer,border,Unclassified
R06A10.4,chrI:1095640:1095790,putative_enhancer,R,Unclassified
R06A10.4,chrI:1096046:1096196,putative_enhancer,R,Hypod
R06A10.4,chrI:1099191:1099341,putative_enhancer,R,Muscle
R06A10.4,chrI:1100707:1100857,coding_promoter,R,Muscle
R06A10.4,chrI:1102266:1102416,putative_enhancer,R,Muscle_Hypod
R06A10.4,chrI:1103390:1103540,coding_promoter,R,Hypod
ZK993.2,chrI:1106515:1106665,coding_promoter,R,Muscle_Hypod
R06A10.4,chrI:1106515:1106665,coding_promoter,R,Muscle_Hypod
ZK993.2,chrI:1110595:1110745,putative_enhancer,R,Unclassified
ZK993.5,chrI:1112330:1112480,coding_promoter,R,Intest
